Date,Open,High,Low,Close,AdjClose,Volume
1/3/2012 16:00:00,1.93,1.97,1.84,1.87,1.87,928052
1/4/2012 16:00:00,1.88,1.91,1.83,1.85,1.85,630036
1/5/2012 16:00:00,1.85,1.86,1.79,1.81,1.81,1005432
1/6/2012 16:00:00,1.81,1.85,1.76,1.79,1.79,986287
1/9/2012 16:00:00,1.8,1.83,1.74,1.82,1.82,896951
1/10/2012 16:00:00,1.83,1.85,1.82,1.84,1.84,671732
1/11/2012 16:00:00,1.84,1.89,1.82,1.88,1.88,672239
1/12/2012 16:00:00,1.9,1.91,1.85,1.88,1.88,729300
1/13/2012 16:00:00,1.89,1.9,1.51,1.52,1.52,5506439
1/17/2012 16:00:00,1.78,1.82,1.76,1.77,1.77,4652386
1/18/2012 16:00:00,1.78,1.79,1.75,1.79,1.79,1260183
1/19/2012 16:00:00,1.81,1.85,1.77,1.78,1.78,1246222
1/20/2012 16:00:00,1.79,1.8,1.76,1.77,1.77,662289
1/23/2012 16:00:00,1.79,1.81,1.77,1.78,1.78,594533
1/24/2012 16:00:00,1.78,1.85,1.76,1.83,1.83,857914
1/25/2012 16:00:00,1.82,1.87,1.8,1.86,1.86,611112
1/26/2012 16:00:00,1.87,1.97,1.87,1.93,1.93,1271028
1/27/2012 16:00:00,1.9,1.98,1.9,1.96,1.96,748361
1/30/2012 16:00:00,1.97,1.97,1.9,1.97,1.97,728979
1/31/2012 16:00:00,1.99,2,1.92,1.94,1.94,956713
2/1/2012 16:00:00,1.94,1.98,1.93,1.97,1.97,523169
2/2/2012 16:00:00,1.98,2.06,1.97,2.02,2.02,805610
2/3/2012 16:00:00,2.03,2.09,2.02,2.08,2.08,764418
2/6/2012 16:00:00,2.07,2.13,2.07,2.12,2.12,652161
2/7/2012 16:00:00,2.12,2.12,2.05,2.11,2.11,1021503
2/8/2012 16:00:00,2.11,2.13,2.09,2.13,2.13,623626
2/9/2012 16:00:00,2.13,2.19,2.1,2.17,2.17,1277968
2/10/2012 16:00:00,2.15,2.15,1.99,2.07,2.07,1874139
2/13/2012 16:00:00,2.1,2.14,2.06,2.1,2.1,1157858
2/14/2012 16:00:00,2.12,2.25,2.09,2.21,2.21,1811365
2/15/2012 16:00:00,2.21,2.29,2.15,2.24,2.24,2764476
2/16/2012 16:00:00,2.23,2.3,2.17,2.28,2.28,2219636
2/17/2012 16:00:00,2.27,2.33,2.23,2.33,2.33,1376645
2/21/2012 16:00:00,2.32,2.32,2.25,2.3,2.3,1135788
2/22/2012 16:00:00,2.3,2.31,2.17,2.28,2.28,1654985
2/23/2012 16:00:00,2.27,2.33,2.24,2.3,2.3,820345
2/24/2012 16:00:00,2.28,2.3,2.22,2.25,2.25,959866
2/27/2012 16:00:00,2.23,2.27,2.2,2.24,2.24,605953
2/28/2012 16:00:00,2.24,2.3,2.21,2.25,2.25,612183
2/29/2012 16:00:00,2.25,2.27,2.21,2.23,2.23,535684
3/1/2012 16:00:00,2.23,2.3,2.22,2.29,2.29,703435
3/2/2012 16:00:00,2.29,2.3,2.25,2.27,2.27,549971
3/5/2012 16:00:00,2.29,2.29,2.23,2.25,2.25,466938
3/6/2012 16:00:00,2.22,2.22,2.17,2.21,2.21,573749
3/7/2012 16:00:00,2.21,2.22,2.19,2.21,2.21,364831
3/8/2012 16:00:00,2.21,2.23,2.2,2.2,2.2,633267
3/9/2012 16:00:00,2.21,2.35,2.21,2.32,2.32,1553423
3/12/2012 16:00:00,2.31,2.42,2.31,2.4,2.4,1964520
3/13/2012 16:00:00,2.43,2.44,2.37,2.41,2.41,1001643
3/14/2012 16:00:00,2.4,2.4,2.32,2.35,2.35,851464
3/15/2012 16:00:00,2.35,2.37,2.32,2.33,2.33,571596
3/16/2012 16:00:00,2.33,2.39,2.32,2.35,2.35,729236
3/19/2012 16:00:00,2.35,2.35,2.3,2.33,2.33,1015586
3/20/2012 16:00:00,2.33,2.35,2.3,2.33,2.33,567001
3/21/2012 16:00:00,2.33,2.35,2.31,2.34,2.34,607103
3/22/2012 16:00:00,2.33,2.34,2.29,2.29,2.29,522353
3/23/2012 16:00:00,2.28,2.31,2.21,2.27,2.27,1170567
3/26/2012 16:00:00,2.37,2.54,2.34,2.49,2.49,3140891
3/27/2012 16:00:00,2.48,2.66,2.47,2.53,2.53,2540053
3/28/2012 16:00:00,2.52,2.56,2.47,2.52,2.52,954970
3/29/2012 16:00:00,2.55,2.55,2.47,2.49,2.49,796335
3/30/2012 16:00:00,2.5,2.53,2.45,2.48,2.48,886312
4/2/2012 16:00:00,2.49,2.53,2.44,2.44,2.44,1028504
4/3/2012 16:00:00,2.45,2.56,2.44,2.53,2.53,1104150
4/4/2012 16:00:00,2.35,2.37,2.31,2.33,2.33,4482816
4/5/2012 16:00:00,2.34,2.36,2.29,2.3,2.3,1509378
4/9/2012 16:00:00,2.27,2.29,2.21,2.21,2.21,1655805
4/10/2012 16:00:00,2.21,2.26,2.14,2.16,2.16,1847669
4/11/2012 16:00:00,2.22,2.22,2.13,2.21,2.21,1105447
4/12/2012 16:00:00,2.25,2.3,2.19,2.23,2.23,1034154
4/13/2012 16:00:00,2.26,2.27,2.19,2.24,2.24,649580
4/16/2012 16:00:00,2.23,2.25,2.14,2.15,2.15,1099751
4/17/2012 16:00:00,2.16,2.2,2.14,2.15,2.15,1115538
4/18/2012 16:00:00,2.14,2.18,2.1,2.18,2.18,823096
4/19/2012 16:00:00,2.18,2.23,2.17,2.21,2.21,774878
4/20/2012 16:00:00,2.21,2.25,2.2,2.21,2.21,821774
4/23/2012 16:00:00,2.19,2.2,2.11,2.13,2.13,890715
4/24/2012 16:00:00,2.12,2.15,2.07,2.12,2.12,674467
4/25/2012 16:00:00,2.14,2.2,2.14,2.19,2.19,712133
4/26/2012 16:00:00,2.2,2.23,2.19,2.23,2.23,427619
4/27/2012 16:00:00,2.24,2.24,2.19,2.22,2.22,590205
4/30/2012 16:00:00,2.22,2.22,2.17,2.21,2.21,413948
5/1/2012 16:00:00,2.21,2.28,2.21,2.25,2.25,658947
5/2/2012 16:00:00,2.23,2.29,2.23,2.26,2.26,497251
5/3/2012 16:00:00,2.26,2.27,2.14,2.16,2.16,842107
5/4/2012 16:00:00,2.15,2.16,2.09,2.12,2.12,1247486
5/7/2012 16:00:00,2.13,2.17,2.11,2.16,2.16,1157969
5/8/2012 16:00:00,2.17,2.18,1.96,2.01,2.01,3097180
5/9/2012 16:00:00,2.02,2.05,1.98,2,2,1947828
5/10/2012 16:00:00,2.17,2.31,2.16,2.2,2.2,5556301
5/11/2012 16:00:00,2.17,2.23,2.14,2.15,2.15,1221205
5/14/2012 16:00:00,2.13,2.14,2,2,2,1380842
5/15/2012 16:00:00,2.02,2.06,1.95,1.96,1.96,1585682
5/16/2012 16:00:00,1.97,2.01,1.93,1.95,1.95,1257193
5/17/2012 16:00:00,1.95,1.99,1.88,1.9,1.9,1149043
5/18/2012 16:00:00,1.89,1.9,1.79,1.84,1.84,1616487
5/21/2012 16:00:00,1.84,1.95,1.81,1.92,1.92,1475170
5/22/2012 16:00:00,2.01,2.09,2,2.05,2.05,2366170
5/23/2012 16:00:00,2.04,2.07,1.97,2.07,2.07,1220349
5/24/2012 16:00:00,2.08,2.08,1.98,2.02,2.02,1075520
5/25/2012 16:00:00,2.01,2.03,1.95,1.99,1.99,757009
5/29/2012 16:00:00,2,2.13,2,2.11,2.11,1649917
5/30/2012 16:00:00,2.09,2.09,2.02,2.03,2.03,1307141
5/31/2012 16:00:00,2,2.02,1.92,1.97,1.97,1118701
6/1/2012 16:00:00,1.9,1.94,1.85,1.88,1.88,885710
6/4/2012 16:00:00,1.87,1.89,1.81,1.86,1.86,1030834
6/5/2012 16:00:00,1.86,1.89,1.84,1.86,1.86,630885
6/6/2012 16:00:00,1.88,1.96,1.88,1.95,1.95,910508
6/7/2012 16:00:00,1.99,1.99,1.92,1.93,1.93,492015
6/8/2012 16:00:00,1.92,2.01,1.88,2.01,2.01,881209
6/11/2012 16:00:00,2.02,2.07,1.93,1.94,1.94,635947
6/12/2012 16:00:00,1.95,1.99,1.92,1.98,1.98,568994
6/13/2012 16:00:00,1.97,2.04,1.96,1.98,1.98,844371
6/14/2012 16:00:00,2.01,2.04,1.91,1.96,1.96,872161
6/15/2012 16:00:00,1.96,2,1.92,1.99,1.99,646737
6/18/2012 16:00:00,2,2.16,1.97,2.12,2.12,1256796
6/19/2012 16:00:00,2.13,2.18,2.1,2.14,2.14,911029
6/20/2012 16:00:00,2.23,2.3,2.21,2.25,2.25,3422342
6/21/2012 16:00:00,2.28,2.29,2.12,2.15,2.15,1891895
6/22/2012 16:00:00,2.17,2.27,2.16,2.25,2.25,3047452
6/25/2012 16:00:00,2.26,2.27,2.18,2.21,2.21,1503186
6/26/2012 16:00:00,2.14,2.16,2.09,2.11,2.11,2613849
6/27/2012 16:00:00,2.13,2.16,2.1,2.13,2.13,1047194
6/28/2012 16:00:00,2.13,2.14,2.04,2.09,2.09,914040
6/29/2012 16:00:00,2.19,2.19,2.07,2.09,2.09,1125704
7/2/2012 16:00:00,2.09,2.12,2.01,2.03,2.03,1315534
7/3/2012 16:00:00,2.04,2.07,2.03,2.04,2.04,947128
7/5/2012 16:00:00,2.05,2.11,2.05,2.08,2.08,1253866
7/6/2012 16:00:00,2.07,2.12,2.05,2.07,2.07,784661
7/9/2012 16:00:00,2.06,2.12,2.04,2.1,2.1,910409
7/10/2012 16:00:00,2.1,2.17,2.06,2.08,2.08,758352
7/11/2012 16:00:00,2.1,2.11,2.07,2.1,2.1,638516
7/12/2012 16:00:00,2.09,2.2,2.05,2.18,2.18,1125670
7/13/2012 16:00:00,2.2,2.29,2.19,2.28,2.28,1304912
7/16/2012 16:00:00,2.29,2.4,2.26,2.4,2.4,1743908
7/17/2012 16:00:00,2.33,2.35,2.16,2.22,2.22,2569463
7/18/2012 16:00:00,2.1,2.24,2.07,2.14,2.14,2882084
7/19/2012 16:00:00,2.18,2.21,2.14,2.15,2.15,1435878
7/20/2012 16:00:00,2.14,2.15,2.08,2.12,2.12,1568466
7/23/2012 16:00:00,2.07,2.09,2.04,2.04,2.04,1386743
7/24/2012 16:00:00,2.04,2.07,1.97,1.99,1.99,1500676
7/25/2012 16:00:00,1.99,2,1.92,1.93,1.93,2844065
7/26/2012 16:00:00,1.99,2,1.84,1.88,1.88,2263005
7/27/2012 16:00:00,1.91,1.98,1.87,1.97,1.97,1672968
7/30/2012 16:00:00,1.97,2.02,1.81,1.82,1.82,2066040
7/31/2012 16:00:00,1.84,1.86,1.82,1.83,1.83,1575060
8/1/2012 16:00:00,1.87,1.87,1.74,1.75,1.75,1592217
8/2/2012 16:00:00,1.75,1.79,1.7,1.74,1.74,1305016
8/3/2012 16:00:00,1.79,1.84,1.78,1.82,1.82,1209470
8/6/2012 16:00:00,1.84,1.91,1.84,1.88,1.88,1528169
8/7/2012 16:00:00,1.92,2.06,1.9,2.02,2.02,2387304
8/8/2012 16:00:00,1.99,2,1.91,1.94,1.94,1308895
8/9/2012 16:00:00,1.97,2,1.94,1.96,1.96,672584
8/10/2012 16:00:00,1.95,2,1.95,2,2,707390
8/13/2012 16:00:00,1.98,2.09,1.94,2.08,2.08,870050
8/14/2012 16:00:00,2.05,2.08,1.95,1.96,1.96,793336
8/15/2012 16:00:00,1.96,1.98,1.92,1.96,1.96,525385
8/16/2012 16:00:00,1.97,2.03,1.97,2.02,2.02,668973
8/17/2012 16:00:00,2.02,2.05,2,2,2,508122
8/20/2012 16:00:00,2.01,2.03,1.94,1.97,1.97,1179008
8/21/2012 16:00:00,1.97,2,1.93,1.94,1.94,761516
8/22/2012 16:00:00,1.93,2,1.93,2,2,775490
8/23/2012 16:00:00,2,2.06,1.98,2.05,2.05,1470974
8/24/2012 16:00:00,2,2.02,1.96,1.97,1.97,1430011
8/27/2012 16:00:00,1.97,1.98,1.88,1.89,1.89,1350325
8/28/2012 16:00:00,1.89,1.96,1.87,1.91,1.91,1402656
8/29/2012 16:00:00,1.9,1.91,1.87,1.89,1.89,838883
8/30/2012 16:00:00,1.91,1.92,1.87,1.89,1.89,656307
8/31/2012 16:00:00,1.91,1.92,1.88,1.9,1.9,539736
9/4/2012 16:00:00,1.9,1.93,1.86,1.88,1.88,752496
9/5/2012 16:00:00,1.87,1.9,1.85,1.86,1.86,639227
9/6/2012 16:00:00,1.87,1.93,1.86,1.9,1.9,841643
9/7/2012 16:00:00,1.9,1.97,1.9,1.96,1.96,953151
9/10/2012 16:00:00,1.95,1.96,1.82,1.82,1.82,1484015
9/11/2012 16:00:00,1.85,1.88,1.83,1.85,1.85,1014871
9/12/2012 16:00:00,1.86,1.91,1.85,1.89,1.89,1145334
9/13/2012 16:00:00,1.9,1.97,1.9,1.97,1.97,1486359
9/14/2012 16:00:00,2,2.04,1.98,2.03,2.03,1536669
9/17/2012 16:00:00,2.16,2.19,2.1,2.17,2.17,3212991
9/18/2012 16:00:00,2.13,2.13,2.05,2.09,2.09,1788480
9/19/2012 16:00:00,2.07,2.12,2.06,2.07,2.07,1048457
9/20/2012 16:00:00,2.06,2.1,2.05,2.06,2.06,912372
9/21/2012 16:00:00,2.07,2.1,1.97,2,2,1870170
9/24/2012 16:00:00,1.97,2.07,1.96,2.04,2.04,1302004
9/25/2012 16:00:00,1.91,1.97,1.84,1.84,1.84,5684952
9/26/2012 16:00:00,1.84,1.89,1.83,1.84,1.84,1527320
9/27/2012 16:00:00,1.85,1.9,1.84,1.9,1.9,1758553
9/28/2012 16:00:00,1.91,1.99,1.91,1.95,1.95,4343338
10/1/2012 16:00:00,1.97,1.99,1.93,1.94,1.94,884305
10/2/2012 16:00:00,1.95,1.99,1.93,1.99,1.99,728969
10/3/2012 16:00:00,1.98,2,1.95,1.95,1.95,1055288
10/4/2012 16:00:00,2,2.01,1.91,1.96,1.96,1541207
10/5/2012 16:00:00,1.98,1.99,1.91,1.93,1.93,938670
10/8/2012 16:00:00,1.92,1.96,1.91,1.95,1.95,890006
10/9/2012 16:00:00,1.94,1.94,1.88,1.89,1.89,1193479
10/10/2012 16:00:00,1.89,1.91,1.87,1.89,1.89,505063
10/11/2012 16:00:00,1.93,1.93,1.88,1.89,1.89,450571
10/12/2012 16:00:00,1.89,1.92,1.83,1.84,1.84,987535
10/15/2012 16:00:00,1.87,1.87,1.79,1.82,1.82,1469167
10/16/2012 16:00:00,1.84,1.87,1.82,1.87,1.87,479248
10/17/2012 16:00:00,1.88,1.92,1.85,1.92,1.92,667963
10/18/2012 16:00:00,1.93,1.93,1.85,1.87,1.87,740947
10/19/2012 16:00:00,1.86,1.88,1.82,1.85,1.85,1027302
10/22/2012 16:00:00,1.87,1.87,1.82,1.86,1.86,470198
10/23/2012 16:00:00,1.83,1.9,1.82,1.89,1.89,749273
10/24/2012 16:00:00,1.9,1.9,1.82,1.83,1.83,1016368
10/25/2012 16:00:00,1.85,1.85,1.83,1.83,1.83,577686
10/26/2012 16:00:00,1.84,1.85,1.8,1.83,1.83,477305
10/31/2012 16:00:00,1.85,1.89,1.82,1.88,1.88,775142
11/1/2012 16:00:00,1.88,1.97,1.88,1.95,1.95,1024054
11/2/2012 16:00:00,1.95,1.97,1.9,1.93,1.93,1030265
11/5/2012 16:00:00,1.99,2.11,1.96,2.1,2.1,2049118
11/6/2012 16:00:00,2.04,2.08,2,2.08,2.08,2323943
11/7/2012 16:00:00,2.07,2.14,2.05,2.1,2.1,1715417
11/8/2012 16:00:00,2.07,2.13,2.06,2.09,2.09,1273986
11/9/2012 16:00:00,2.04,2.06,1.99,2.02,2.02,863028
11/12/2012 16:00:00,2.02,2.09,2.01,2.07,2.07,557651
11/13/2012 16:00:00,2.09,2.13,2.05,2.11,2.11,998263
11/14/2012 16:00:00,2.13,2.14,2.08,2.09,2.09,871315
11/15/2012 16:00:00,2.09,2.1,2.03,2.05,2.05,983941
11/16/2012 16:00:00,2.08,2.13,2.04,2.12,2.12,908650
11/19/2012 16:00:00,2.14,2.22,2.12,2.19,2.19,1392548
11/20/2012 16:00:00,2.19,2.21,2.13,2.2,2.2,922427
11/21/2012 16:00:00,2.17,2.23,2.15,2.16,2.16,963133
11/23/2012 16:00:00,2.17,2.19,2.11,2.14,2.14,430212
11/26/2012 16:00:00,2.14,2.15,2.11,2.15,2.15,496219
11/27/2012 16:00:00,2.14,2.18,2.1,2.14,2.14,910770
11/28/2012 16:00:00,2.13,2.29,2.13,2.22,2.22,1525299
11/29/2012 16:00:00,2.23,2.27,2.19,2.25,2.25,1103315
11/30/2012 16:00:00,2.24,2.29,2.2,2.25,2.25,1420284
12/3/2012 16:00:00,2.26,2.33,2.23,2.31,2.31,2085753
12/4/2012 16:00:00,2.27,2.32,2.24,2.26,2.26,1264211
12/5/2012 16:00:00,2.25,2.28,2.24,2.25,2.25,661486
12/6/2012 16:00:00,2.25,2.32,2.23,2.26,2.26,660397
12/7/2012 16:00:00,2.29,2.3,2.26,2.28,2.28,664586
12/10/2012 16:00:00,2.3,2.32,2.28,2.3,2.3,929751
12/11/2012 16:00:00,2.31,2.37,2.3,2.35,2.35,1572591
12/12/2012 16:00:00,2.35,2.39,2.33,2.35,2.35,2063877
